"filename", "language", "JSON", "Python", "comment", "blank", "total"
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/basic_img_norms.py", "Python", 0, 89, 3, 22, 114
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/face_detection/mtcnn.py", "Python", 0, 152, 25, 40, 217
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/face_detection/retinaface.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/pre_processing/normalizations.py", "Python", 0, 16, 0, 3, 19
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/artifacts.py", "Python", 0, 432, 106, 93, 631
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/augment.py", "Python", 0, 31, 0, 9, 40
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/ema.py", "Python", 0, 70, 50, 24, 144
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/engine.py", "Python", 0, 117, 22, 31, 170
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/losses.py", "Python", 0, 35, 2, 11, 48
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/previews.py", "Python", 0, 202, 45, 48, 295
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/registery.py", "Python", 0, 148, 37, 41, 226
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/runner.py", "Python", 0, 760, 110, 151, 1021
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/training/schedules.py", "Python", 0, 73, 34, 19, 126
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/utils/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/xai/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/src/fer/xai/grad_cam.py", "Python", 0, 10, 3, 3, 16
"/home/h/hosseinis/vision_lab/vision_lab/main/weights/__init__.py", "Python", 0, 0, 0, 1, 1
"/home/h/hosseinis/vision_lab/vision_lab/main/weights/resnet18fer/__init__.py", "Python", 0, 0, 0, 1, 1
"Total", "-", 0, 7614, 1731, 2026, 11371
